Date;Day;Weekday;Is_weekend;Is_holiday;Week_of_month;Week_of_year;Month;Quarter;Year
24.06.2013;24;2;0;0;5;26;6;2;2013
25.06.2013;25;3;0;0;5;26;6;2;2013
26.06.2013;26;4;0;0;5;26;6;2;2013
27.06.2013;27;5;0;0;5;26;6;2;2013
28.06.2013;28;6;0;0;5;26;6;2;2013
29.06.2013;29;7;1;0;5;26;6;2;2013
30.06.2013;30;1;1;0;6;27;6;2;2013
01.07.2013;1;2;0;0;1;27;7;3;2013
02.07.2013;2;3;0;0;1;27;7;3;2013
03.07.2013;3;4;0;0;1;27;7;3;2013
04.07.2013;4;5;0;1;1;27;7;3;2013
05.07.2013;5;6;0;0;1;27;7;3;2013
06.07.2013;6;7;1;0;1;27;7;3;2013
07.07.2013;7;1;1;0;2;28;7;3;2013
08.07.2013;8;2;0;0;2;28;7;3;2013
09.07.2013;9;3;0;0;2;28;7;3;2013
10.07.2013;10;4;0;0;2;28;7;3;2013
11.07.2013;11;5;0;0;2;28;7;3;2013
12.07.2013;12;6;0;0;2;28;7;3;2013
13.07.2013;13;7;1;0;2;28;7;3;2013
14.07.2013;14;1;1;0;3;29;7;3;2013
15.07.2013;15;2;0;0;3;29;7;3;2013
16.07.2013;16;3;0;0;3;29;7;3;2013
17.07.2013;17;4;0;0;3;29;7;3;2013
18.07.2013;18;5;0;0;3;29;7;3;2013
19.07.2013;19;6;0;0;3;29;7;3;2013
20.07.2013;20;7;1;0;3;29;7;3;2013
21.07.2013;21;1;1;0;4;30;7;3;2013
22.07.2013;22;2;0;0;4;30;7;3;2013
23.07.2013;23;3;0;0;4;30;7;3;2013
24.07.2013;24;4;0;0;4;30;7;3;2013
25.07.2013;25;5;0;0;4;30;7;3;2013
26.07.2013;26;6;0;0;4;30;7;3;2013
27.07.2013;27;7;1;0;4;30;7;3;2013
28.07.2013;28;1;1;0;5;31;7;3;2013
29.07.2013;29;2;0;0;5;31;7;3;2013
30.07.2013;30;3;0;0;5;31;7;3;2013
31.07.2013;31;4;0;0;5;31;7;3;2013
01.08.2013;1;5;0;0;1;31;8;3;2013
02.08.2013;2;6;0;0;1;31;8;3;2013
03.08.2013;3;7;1;0;1;31;8;3;2013
04.08.2013;4;1;1;0;2;32;8;3;2013
05.08.2013;5;2;0;0;2;32;8;3;2013
06.08.2013;6;3;0;0;2;32;8;3;2013
07.08.2013;7;4;0;0;2;32;8;3;2013
08.08.2013;8;5;0;0;2;32;8;3;2013
09.08.2013;9;6;0;0;2;32;8;3;2013
10.08.2013;10;7;1;0;2;32;8;3;2013
11.08.2013;11;1;1;0;3;33;8;3;2013
12.08.2013;12;2;0;0;3;33;8;3;2013
13.08.2013;13;3;0;0;3;33;8;3;2013
14.08.2013;14;4;0;0;3;33;8;3;2013
15.08.2013;15;5;0;0;3;33;8;3;2013
16.08.2013;16;6;0;0;3;33;8;3;2013
17.08.2013;17;7;1;0;3;33;8;3;2013
18.08.2013;18;1;1;0;4;34;8;3;2013
19.08.2013;19;2;0;0;4;34;8;3;2013
20.08.2013;20;3;0;0;4;34;8;3;2013
21.08.2013;21;4;0;0;4;34;8;3;2013
22.08.2013;22;5;0;0;4;34;8;3;2013
23.08.2013;23;6;0;0;4;34;8;3;2013
24.08.2013;24;7;1;0;4;34;8;3;2013
25.08.2013;25;1;1;0;5;35;8;3;2013
26.08.2013;26;2;0;0;5;35;8;3;2013
27.08.2013;27;3;0;0;5;35;8;3;2013
28.08.2013;28;4;0;0;5;35;8;3;2013
29.08.2013;29;5;0;0;5;35;8;3;2013
30.08.2013;30;6;0;0;5;35;8;3;2013
31.08.2013;31;7;1;0;5;35;8;3;2013
01.09.2013;1;1;1;0;1;36;9;3;2013
02.09.2013;2;2;0;1;1;36;9;3;2013
03.09.2013;3;3;0;0;1;36;9;3;2013
04.09.2013;4;4;0;0;1;36;9;3;2013
05.09.2013;5;5;0;0;1;36;9;3;2013
06.09.2013;6;6;0;0;1;36;9;3;2013
07.09.2013;7;7;1;0;1;36;9;3;2013
08.09.2013;8;1;1;0;2;37;9;3;2013
09.09.2013;9;2;0;0;2;37;9;3;2013
10.09.2013;10;3;0;0;2;37;9;3;2013
11.09.2013;11;4;0;0;2;37;9;3;2013
